Issue_Year,Cash_Settlements,Guarantees,Guar_Duration,Guar_Duration_Lower,Guar_Duration_Upper,Type,Key,Rate_%
2024,True,True,x<=5,5,10,C,2024_TRUE_TRUE_x<=5_C,4.25
1983,True,True,5<x<=10,5,10,A,1983_TRUE_TRUE_5<x<=10_A,10.75
1984,True,True,5<x<=10,5,10,A,1984_TRUE_TRUE_5<x<=10_A,10.75
1985,True,True,5<x<=10,5,10,A,1985_TRUE_TRUE_5<x<=10_A,10.5
1986,True,True,5<x<=10,5,10,A,1986_TRUE_TRUE_5<x<=10_A,8.75
1987,True,True,5<x<=10,5,10,A,1987_TRUE_TRUE_5<x<=10_A,7.75
1988,True,True,5<x<=10,5,10,A,1988_TRUE_TRUE_5<x<=10_A,8.5
1989,True,True,5<x<=10,5,10,A,1989_TRUE_TRUE_5<x<=10_A,8.25
1990,True,True,5<x<=10,5,10,A,1990_TRUE_TRUE_5<x<=10_A,8.0
1991,True,True,5<x<=10,5,10,A,1991_TRUE_TRUE_5<x<=10_A,8.0
1992,True,True,5<x<=10,5,10,A,1992_TRUE_TRUE_5<x<=10_A,7.5
1993,True,True,5<x<=10,5,10,A,1993_TRUE_TRUE_5<x<=10_A,6.75
1994,True,True,5<x<=10,5,10,A,1994_TRUE_TRUE_5<x<=10_A,6.5
1995,True,True,5<x<=10,5,10,A,1995_TRUE_TRUE_5<x<=10_A,7.0
1996,True,True,5<x<=10,5,10,A,1996_TRUE_TRUE_5<x<=10_A,6.5
1997,True,True,5<x<=10,5,10,A,1997_TRUE_TRUE_5<x<=10_A,6.5
1998,True,True,5<x<=10,5,10,A,1998_TRUE_TRUE_5<x<=10_A,6.0
1999,True,True,5<x<=10,5,10,A,1999_TRUE_TRUE_5<x<=10_A,6.0
2000,True,True,5<x<=10,5,10,A,2000_TRUE_TRUE_5<x<=10_A,6.75
2001,True,True,5<x<=10,5,10,A,2001_TRUE_TRUE_5<x<=10_A,6.5
2002,True,True,5<x<=10,5,10,A,2002_TRUE_TRUE_5<x<=10_A,6.25
2003,True,True,5<x<=10,5,10,A,2003_TRUE_TRUE_5<x<=10_A,5.75
2004,True,True,5<x<=10,5,10,A,2004_TRUE_TRUE_5<x<=10_A,5.5
2005,True,True,5<x<=10,5,10,A,2005_TRUE_TRUE_5<x<=10_A,5.0
2006,True,True,5<x<=10,5,10,A,2006_TRUE_TRUE_5<x<=10_A,5.25
2007,True,True,5<x<=10,5,10,A,2007_TRUE_TRUE_5<x<=10_A,5.25
2008,True,True,5<x<=10,5,10,A,2008_TRUE_TRUE_5<x<=10_A,5.5
2009,True,True,5<x<=10,5,10,A,2009_TRUE_TRUE_5<x<=10_A,5.75
2010,True,True,5<x<=10,5,10,A,2010_TRUE_TRUE_5<x<=10_A,5.0
2011,True,True,5<x<=10,5,10,A,2011_TRUE_TRUE_5<x<=10_A,4.75
2012,True,True,5<x<=10,5,10,A,2012_TRUE_TRUE_5<x<=10_A,4.25
2013,True,True,5<x<=10,5,10,A,2013_TRUE_TRUE_5<x<=10_A,3.75
2014,True,True,5<x<=10,5,10,A,2014_TRUE_TRUE_5<x<=10_A,4.25
2015,True,True,5<x<=10,5,10,A,2015_TRUE_TRUE_5<x<=10_A,4.0
2016,True,True,5<x<=10,5,10,A,2016_TRUE_TRUE_5<x<=10_A,4.0
2017,True,True,5<x<=10,5,10,A,2017_TRUE_TRUE_5<x<=10_A,3.75
